======================================================================================================================================================
                                                                   LISTA DE LIBROS
======================================================================================================================================================
    CODIGO    TITULO                                                      AUTOR                                  PRECIO          MONTO    N° VENDIDOS
    PS1579    Le Chevalier de Maison-Rouge                                Jenny Hijar                              5.57          27.85         5
    PW5521    Les Ressources de Quinola                                   Madeleine Suarez                        24.25          72.75         3
    PY0488    La Resurreccion de Rocambole                                Rafael Urbina                           21.61         172.88         8
    QI9476    What the Tortoise Said to Achilles                          Humberto Zarate                         66.95         200.85         3
    QQ0205    Unspoiled Monsters y Kate McCloud                           Ofelia Zambrano                         11.34          45.36         4
    QY4518    Beat the Devil                                              Alfonso Miranda                        214.31        1071.55         5
    RH6857    Carmen la gitana                                            Felicita Villegas                       66.08         462.56         7
    RN0673    La hermosa jardinera                                        Humberto Zarate                         48.49         387.92         8
    RP9394    El hombre gris                                              Cesar Astete                            16.43          82.15         5
    RU3649    The Fencing Master                                          Madeleine Suarez                         8.51          76.59         9
    RY6519    The Regent's Daughter                                       Miguel Alamo                           137.27         686.35         5
    SC2766    La Catedral                                                 Edgar Suchero                           38.56         192.80         5
    SX7522    Paseo por los Andes                                         Martin Villa                            81.00         567.00         7
    TD5907    The Ballad of Reading Gaol                                  Lucero De La Cuba                       28.26          84.78         3
    TF7016    Castle Eppstein; The Specter Mother                         Beatriz Patino                          57.46         229.84         4
    UC1640    La Peau de chagrin                                          Evert Figueroa                         157.54         787.70         5
    UK4282    Joseph Balsamo                                              Alfonso Miranda                        114.29         914.32         8
    UP4621    Le Vicaire des Ardennes                                     Rafael Urbina                           65.79         394.74         6
    UT7122    Sylvie and Bruno Concluded                                  Lucero De La Cuba                        3.42          20.52         6
    UV2257    El Duque en su territorio                                   Antonio Lozada                         132.41        1059.28         8
    UZ6069    El nino perdido                                             Rafael Urbina                            2.23          13.38         6
    VV6733    El narrador                                                 Annie Merel                            224.75        1123.75         5
    WG6535    La casa roja                                                Gonzalo Vega                            29.80         178.80         6
    XA3792    Un breve cuento aparecido en la revista Seventeen           Virginia Chumpitaz                      40.16         321.28         8
    XG5854    Los tesoros del Rajah                                       Daniel Vargas                           15.26          45.78         3
    XP0085    Redencion!                                                  Amaru Suarez                            19.98         119.88         6
    YH4590    The Queen's Necklace                                        Jenny Hijar                             44.73         178.92         4
    ZF7975    The Countess de Charny                                      Heli Urbina                            105.11         840.88         8
======================================================================================================================================================
